Date;Région;TMin (°C);TMax (°C);TMoy (°C)
09/11/2019;Ile-de-France;2.6;8.82;5.71
10/11/2019;Ile-de-France;5.24;7.32;6.28
11/11/2019;Ile-de-France;4.06;8.84;6.45
12/11/2019;Ile-de-France;3.48;8.94;6.21
13/11/2019;Ile-de-France;2.74;10.62;6.68
14/11/2019;Ile-de-France;4.62;7.0;5.81
15/11/2019;Ile-de-France;0.76;4.76;2.76
16/11/2019;Ile-de-France;1.28;6.32;3.8
17/11/2019;Ile-de-France;4.62;8.6;6.61
18/11/2019;Ile-de-France;3.44;7.94;5.69
19/11/2019;Ile-de-France;4.0;9.9;6.95
20/11/2019;Ile-de-France;-0.08;6.86;3.39
21/11/2019;Ile-de-France;0.14;10.48;5.31
22/11/2019;Ile-de-France;4.8;11.94;8.37
23/11/2019;Ile-de-France;8.42;10.54;9.48
24/11/2019;Ile-de-France;5.58;11.76;8.67
25/11/2019;Ile-de-France;7.02;12.84;9.93
26/11/2019;Ile-de-France;10.14;12.64;11.39
27/11/2019;Ile-de-France;9.98;12.26;11.12
28/11/2019;Ile-de-France;9.98;12.08;11.03
29/11/2019;Ile-de-France;7.66;9.5;8.58
30/11/2019;Ile-de-France;3.28;8.4;5.84
01/12/2019;Ile-de-France;2.74;3.8;3.27
02/12/2019;Ile-de-France;-0.26;6.44;3.09
03/12/2019;Ile-de-France;0.58;5.2;2.89
04/12/2019;Ile-de-France;-1.0;5.58;2.29
05/12/2019;Ile-de-France;-2.38;1.1;-0.64
06/12/2019;Ile-de-France;-0.92;9.88;4.48
07/12/2019;Ile-de-France;7.66;11.24;9.45
08/12/2019;Ile-de-France;8.84;12.1;10.47
09/12/2019;Ile-de-France;5.82;9.94;7.88
10/12/2019;Ile-de-France;-0.24;7.56;3.66
11/12/2019;Ile-de-France;5.8;8.06;6.93
12/12/2019;Ile-de-France;2.04;8.54;5.29
13/12/2019;Ile-de-France;5.2;11.46;8.33
14/12/2019;Ile-de-France;6.32;10.92;8.62
15/12/2019;Ile-de-France;7.44;10.48;8.96
16/12/2019;Ile-de-France;7.68;11.52;9.6
17/12/2019;Ile-de-France;8.28;15.52;11.9
18/12/2019;Ile-de-France;4.62;11.36;7.99
19/12/2019;Ile-de-France;9.04;14.36;11.7
20/12/2019;Ile-de-France;8.22;12.34;10.28
21/12/2019;Ile-de-France;6.54;10.66;8.6
22/12/2019;Ile-de-France;7.82;10.34;9.08
23/12/2019;Ile-de-France;7.0;10.8;8.9
24/12/2019;Ile-de-France;7.32;12.82;10.07
25/12/2019;Ile-de-France;5.82;10.34;8.08
26/12/2019;Ile-de-France;3.06;11.04;7.05
27/12/2019;Ile-de-France;8.32;9.44;8.88
28/12/2019;Ile-de-France;5.04;8.06;6.55
29/12/2019;Ile-de-France;-0.36;5.66;2.65
30/12/2019;Ile-de-France;-1.22;8.22;3.5
31/12/2019;Ile-de-France;-1.68;5.32;1.82
01/01/2020;Ile-de-France;-1.42;5.42;2.0
02/01/2020;Ile-de-France;3.68;8.94;6.31
03/01/2020;Ile-de-France;8.02;11.88;9.95
04/01/2020;Ile-de-France;2.7;8.92;5.81
05/01/2020;Ile-de-France;6.04;8.62;7.33
06/01/2020;Ile-de-France;0.12;7.9;4.01
07/01/2020;Ile-de-France;4.78;11.52;8.15
08/01/2020;Ile-de-France;8.44;11.9;10.17
09/01/2020;Ile-de-France;10.5;12.14;11.32
10/01/2020;Ile-de-France;6.86;9.1;7.98
11/01/2020;Ile-de-France;2.18;8.64;5.41
12/01/2020;Ile-de-France;2.28;8.78;5.53
13/01/2020;Ile-de-France;6.2;10.08;8.14
14/01/2020;Ile-de-France;8.7;11.94;10.32
15/01/2020;Ile-de-France;8.42;12.78;10.6
16/01/2020;Ile-de-France;3.74;13.98;8.86
17/01/2020;Ile-de-France;6.38;11.76;9.07
18/01/2020;Ile-de-France;1.88;9.1;5.49
19/01/2020;Ile-de-France;0.72;7.0;3.86
20/01/2020;Ile-de-France;0.88;5.78;3.33
21/01/2020;Ile-de-France;-1.0;5.06;2.03
22/01/2020;Ile-de-France;-2.7;3.62;0.46
23/01/2020;Ile-de-France;-1.48;3.5;1.01
24/01/2020;Ile-de-France;-1.6;4.38;1.39
25/01/2020;Ile-de-France;-2.12;5.84;1.86
26/01/2020;Ile-de-France;1.42;9.04;5.23
27/01/2020;Ile-de-France;6.98;8.92;7.95
28/01/2020;Ile-de-France;4.16;7.8;5.98
29/01/2020;Ile-de-France;4.34;9.7;7.02
30/01/2020;Ile-de-France;3.06;13.12;8.09
31/01/2020;Ile-de-France;11.02;14.14;12.58
01/02/2020;Ile-de-France;11.12;14.06;12.59
02/02/2020;Ile-de-France;10.6;15.56;13.08
03/02/2020;Ile-de-France;10.6;13.62;12.11
04/02/2020;Ile-de-France;4.86;9.08;6.97
05/02/2020;Ile-de-France;5.78;9.76;7.77
06/02/2020;Ile-de-France;0.86;10.08;5.47
07/02/2020;Ile-de-France;0.86;11.26;6.06
08/02/2020;Ile-de-France;7.3;10.68;8.99
09/02/2020;Ile-de-France;6.82;13.8;10.31
10/02/2020;Ile-de-France;7.6;11.8;9.7
11/02/2020;Ile-de-France;4.88;9.4;7.14
12/02/2020;Ile-de-France;3.46;9.54;6.5
13/02/2020;Ile-de-France;4.8;12.74;8.77
14/02/2020;Ile-de-France;7.74;12.02;9.88
15/02/2020;Ile-de-France;5.82;14.04;9.93
16/02/2020;Ile-de-France;10.96;17.9;14.43
17/02/2020;Ile-de-France;7.32;12.56;9.94
18/02/2020;Ile-de-France;3.48;11.02;7.25
19/02/2020;Ile-de-France;4.46;9.78;7.12
20/02/2020;Ile-de-France;6.76;11.32;9.04
21/02/2020;Ile-de-France;1.86;10.24;6.05
22/02/2020;Ile-de-France;3.72;12.72;8.22
23/02/2020;Ile-de-France;9.3;12.92;11.11
24/02/2020;Ile-de-France;10.1;12.54;11.32
25/02/2020;Ile-de-France;6.18;11.2;8.69
26/02/2020;Ile-de-France;1.82;7.4;4.61
27/02/2020;Ile-de-France;2.44;11.7;7.07
28/02/2020;Ile-de-France;0.6;10.78;5.69
29/02/2020;Ile-de-France;6.36;12.66;9.51
01/03/2020;Ile-de-France;1.86;9.34;5.6
02/03/2020;Ile-de-France;3.74;9.24;6.49
03/03/2020;Ile-de-France;1.24;9.06;5.15
04/03/2020;Ile-de-France;2.22;8.82;5.52
05/03/2020;Ile-de-France;6.28;12.96;9.62
06/03/2020;Ile-de-France;5.32;9.88;7.6
07/03/2020;Ile-de-France;1.76;11.48;6.62
08/03/2020;Ile-de-France;7.2;10.86;9.03
09/03/2020;Ile-de-France;4.62;12.08;8.35
10/03/2020;Ile-de-France;6.82;14.72;10.77
11/03/2020;Ile-de-France;12.26;16.9;14.58
12/03/2020;Ile-de-France;8.94;13.32;11.13
13/03/2020;Ile-de-France;3.56;12.56;8.06
14/03/2020;Ile-de-France;5.94;11.54;8.74
15/03/2020;Ile-de-France;6.92;16.78;11.85
16/03/2020;Ile-de-France;6.04;11.34;8.69
17/03/2020;Ile-de-France;8.1;15.36;11.73
18/03/2020;Ile-de-France;9.02;18.36;13.69
19/03/2020;Ile-de-France;6.6;20.34;13.47
20/03/2020;Ile-de-France;9.76;16.54;13.15
21/03/2020;Ile-de-France;5.94;8.32;7.13
22/03/2020;Ile-de-France;5.02;11.18;8.1
23/03/2020;Ile-de-France;1.14;11.46;6.3
24/03/2020;Ile-de-France;0.28;13.0;6.64
25/03/2020;Ile-de-France;0.2;12.48;6.34
26/03/2020;Ile-de-France;1.62;11.04;6.33
27/03/2020;Ile-de-France;1.78;13.58;7.68
28/03/2020;Ile-de-France;3.44;16.82;10.13
29/03/2020;Ile-de-France;3.98;9.24;6.61
30/03/2020;Ile-de-France;-0.48;9.68;4.6
31/03/2020;Ile-de-France;1.36;11.98;6.67
01/04/2020;Ile-de-France;0.64;12.86;6.75
02/04/2020;Ile-de-France;0.78;11.1;5.94
03/04/2020;Ile-de-France;5.64;14.54;10.09
04/04/2020;Ile-de-France;3.56;17.0;10.28
05/04/2020;Ile-de-France;5.5;22.58;14.04
06/04/2020;Ile-de-France;9.34;16.86;13.1
07/04/2020;Ile-de-France;9.54;22.96;16.25
08/04/2020;Ile-de-France;8.16;24.88;16.52
09/04/2020;Ile-de-France;8.28;25.64;16.96
10/04/2020;Ile-de-France;9.72;25.16;17.44
11/04/2020;Ile-de-France;11.32;25.38;18.35
12/04/2020;Ile-de-France;10.78;24.84;17.81
13/04/2020;Ile-de-France;10.12;17.44;13.78
14/04/2020;Ile-de-France;2.56;13.32;7.94
15/04/2020;Ile-de-France;3.7;19.28;11.49
16/04/2020;Ile-de-France;8.4;23.88;16.14
17/04/2020;Ile-de-France;11.98;24.48;18.23
18/04/2020;Ile-de-France;13.58;23.46;18.52
19/04/2020;Ile-de-France;11.48;20.1;15.79
20/04/2020;Ile-de-France;10.34;21.38;15.86
21/04/2020;Ile-de-France;10.08;20.5;15.29
22/04/2020;Ile-de-France;10.34;22.04;16.19
23/04/2020;Ile-de-France;9.12;25.64;17.38
24/04/2020;Ile-de-France;11.0;24.86;17.93
25/04/2020;Ile-de-France;11.26;19.92;15.59
26/04/2020;Ile-de-France;6.06;21.08;13.57
27/04/2020;Ile-de-France;8.68;24.56;16.62
28/04/2020;Ile-de-France;12.92;18.58;15.75
29/04/2020;Ile-de-France;9.8;16.3;13.05
30/04/2020;Ile-de-France;8.52;14.74;11.63
01/05/2020;Ile-de-France;8.68;17.46;13.07
02/05/2020;Ile-de-France;6.32;17.28;11.8
03/05/2020;Ile-de-France;9.56;20.22;14.89
04/05/2020;Ile-de-France;10.44;19.42;14.93
05/05/2020;Ile-de-France;10.34;14.98;12.66
06/05/2020;Ile-de-France;11.1;20.52;15.81
07/05/2020;Ile-de-France;6.82;22.18;14.5
08/05/2020;Ile-de-France;8.68;24.1;16.39
09/05/2020;Ile-de-France;15.7;23.28;19.49
10/05/2020;Ile-de-France;14.06;22.94;18.5
11/05/2020;Ile-de-France;6.04;13.86;9.95
12/05/2020;Ile-de-France;4.24;14.36;9.3
13/05/2020;Ile-de-France;5.58;15.76;10.67
14/05/2020;Ile-de-France;4.88;15.3;10.09
15/05/2020;Ile-de-France;5.08;17.52;11.3
16/05/2020;Ile-de-France;6.0;19.14;12.57
17/05/2020;Ile-de-France;6.84;20.8;13.82
18/05/2020;Ile-de-France;9.3;23.54;16.42
19/05/2020;Ile-de-France;8.62;24.22;16.42
20/05/2020;Ile-de-France;12.14;27.08;19.61
21/05/2020;Ile-de-France;14.06;29.36;21.71
22/05/2020;Ile-de-France;16.82;26.24;21.53
23/05/2020;Ile-de-France;11.56;20.2;15.88
24/05/2020;Ile-de-France;9.26;20.28;14.77
25/05/2020;Ile-de-France;10.24;23.52;16.88
26/05/2020;Ile-de-France;12.52;25.0;18.76
27/05/2020;Ile-de-France;13.46;25.62;19.54
28/05/2020;Ile-de-France;11.9;24.28;18.09
29/05/2020;Ile-de-France;11.7;24.28;17.99
30/05/2020;Ile-de-France;11.74;24.72;18.23
31/05/2020;Ile-de-France;12.78;23.28;18.03
01/06/2020;Ile-de-France;12.52;26.4;19.46
02/06/2020;Ile-de-France;13.8;29.34;21.57
03/06/2020;Ile-de-France;15.78;26.8;21.29
04/06/2020;Ile-de-France;12.14;16.88;14.51
05/06/2020;Ile-de-France;10.82;17.58;14.2
06/06/2020;Ile-de-France;10.52;18.6;14.56
07/06/2020;Ile-de-France;8.46;19.98;14.22
08/06/2020;Ile-de-France;10.14;18.96;14.55
09/06/2020;Ile-de-France;10.72;18.94;14.83
10/06/2020;Ile-de-France;9.04;20.64;14.84
11/06/2020;Ile-de-France;11.32;23.34;17.33
12/06/2020;Ile-de-France;13.74;20.48;17.11
13/06/2020;Ile-de-France;12.08;23.62;17.85
14/06/2020;Ile-de-France;12.56;22.62;17.59
15/06/2020;Ile-de-France;13.26;22.68;17.97
16/06/2020;Ile-de-France;13.52;23.16;18.34
17/06/2020;Ile-de-France;13.24;20.94;17.09
18/06/2020;Ile-de-France;12.86;21.68;17.27
19/06/2020;Ile-de-France;11.98;20.88;16.43
20/06/2020;Ile-de-France;14.26;24.42;19.34
21/06/2020;Ile-de-France;13.66;22.54;18.1
22/06/2020;Ile-de-France;10.84;24.14;17.49
23/06/2020;Ile-de-France;12.84;29.4;21.12
24/06/2020;Ile-de-France;16.78;32.36;24.57
25/06/2020;Ile-de-France;19.06;34.18;26.62
26/06/2020;Ile-de-France;20.2;31.22;25.71
27/06/2020;Ile-de-France;17.58;23.04;20.31
28/06/2020;Ile-de-France;15.56;23.12;19.34
29/06/2020;Ile-de-France;14.1;22.64;18.37
30/06/2020;Ile-de-France;14.52;22.32;18.42
01/07/2020;Ile-de-France;17.54;23.68;20.61
02/07/2020;Ile-de-France;14.2;22.32;18.26
03/07/2020;Ile-de-France;12.12;23.0;17.56
04/07/2020;Ile-de-France;13.6;23.64;18.62
05/07/2020;Ile-de-France;17.98;24.92;21.45
06/07/2020;Ile-de-France;11.3;22.24;16.77
07/07/2020;Ile-de-France;9.7;25.02;17.36
08/07/2020;Ile-de-France;12.62;28.04;20.33
09/07/2020;Ile-de-France;15.58;31.6;23.59
10/07/2020;Ile-de-France;16.6;23.4;20.0
11/07/2020;Ile-de-France;10.5;23.78;17.14
12/07/2020;Ile-de-France;11.18;25.4;18.29
13/07/2020;Ile-de-France;13.22;27.38;20.3
14/07/2020;Ile-de-France;14.8;22.96;18.88
15/07/2020;Ile-de-France;15.44;22.44;18.94
16/07/2020;Ile-de-France;15.44;21.1;18.27
17/07/2020;Ile-de-France;15.68;26.66;21.17
18/07/2020;Ile-de-France;14.42;29.26;21.84
19/07/2020;Ile-de-France;14.14;30.8;22.47
20/07/2020;Ile-de-France;16.08;26.12;21.1
21/07/2020;Ile-de-France;13.02;25.84;19.43
22/07/2020;Ile-de-France;12.68;25.5;19.09
23/07/2020;Ile-de-France;13.02;28.76;20.89
24/07/2020;Ile-de-France;16.48;25.26;20.87
25/07/2020;Ile-de-France;15.54;27.18;21.36
26/07/2020;Ile-de-France;15.84;25.68;20.76
27/07/2020;Ile-de-France;14.78;31.84;23.31
28/07/2020;Ile-de-France;17.84;24.54;21.19
29/07/2020;Ile-de-France;11.74;26.8;19.27
30/07/2020;Ile-de-France;13.3;32.46;22.88
31/07/2020;Ile-de-France;19.24;38.82;29.03
01/08/2020;Ile-de-France;18.86;27.98;23.42
02/08/2020;Ile-de-France;16.12;24.58;20.35
03/08/2020;Ile-de-France;13.82;23.32;18.57
04/08/2020;Ile-de-France;11.86;25.94;18.9
05/08/2020;Ile-de-France;12.42;30.96;21.69
06/08/2020;Ile-de-France;15.0;34.32;24.66
07/08/2020;Ile-de-France;19.32;36.2;27.76
08/08/2020;Ile-de-France;19.84;37.34;28.59
09/08/2020;Ile-de-France;22.68;38.38;30.53
10/08/2020;Ile-de-France;21.7;34.12;27.91
11/08/2020;Ile-de-France;21.28;36.2;28.74
12/08/2020;Ile-de-France;21.12;35.58;28.35
13/08/2020;Ile-de-France;19.72;28.4;24.06
14/08/2020;Ile-de-France;18.68;27.18;22.93
15/08/2020;Ile-de-France;17.64;28.26;22.95
16/08/2020;Ile-de-France;17.28;27.38;22.33
17/08/2020;Ile-de-France;16.14;24.04;20.09
18/08/2020;Ile-de-France;15.84;26.88;21.36
19/08/2020;Ile-de-France;16.94;25.58;21.26
20/08/2020;Ile-de-France;19.5;32.24;25.87
21/08/2020;Ile-de-France;20.3;29.08;24.69
22/08/2020;Ile-de-France;16.1;26.12;21.11
23/08/2020;Ile-de-France;14.64;23.22;18.93
24/08/2020;Ile-de-France;12.98;22.8;17.89
25/08/2020;Ile-de-France;14.52;29.06;21.79
26/08/2020;Ile-de-France;15.72;24.5;20.11
27/08/2020;Ile-de-France;12.44;26.42;19.43
28/08/2020;Ile-de-France;14.42;22.5;18.46
29/08/2020;Ile-de-France;11.64;18.74;15.19
30/08/2020;Ile-de-France;11.84;21.08;16.46
31/08/2020;Ile-de-France;11.58;20.5;16.04
01/09/2020;Ile-de-France;9.5;21.8;15.65
02/09/2020;Ile-de-France;9.78;22.2;15.99
03/09/2020;Ile-de-France;14.88;27.4;21.14
04/09/2020;Ile-de-France;16.9;29.48;23.19
05/09/2020;Ile-de-France;14.84;21.32;18.08
06/09/2020;Ile-de-France;10.7;20.18;15.44
07/09/2020;Ile-de-France;9.8;23.34;16.57
08/09/2020;Ile-de-France;12.7;26.24;19.47
09/09/2020;Ile-de-France;17.52;27.72;22.62
10/09/2020;Ile-de-France;15.82;26.46;21.14
11/09/2020;Ile-de-France;14.3;26.82;20.56
12/09/2020;Ile-de-France;12.28;23.14;17.71
13/09/2020;Ile-de-France;11.26;28.06;19.66
14/09/2020;Ile-de-France;12.92;33.8;23.36
15/09/2020;Ile-de-France;17.34;34.16;25.75
16/09/2020;Ile-de-France;16.48;31.4;23.94
17/09/2020;Ile-de-France;16.84;25.96;21.4
18/09/2020;Ile-de-France;13.28;27.58;20.43
19/09/2020;Ile-de-France;20.68;28.84;24.76
20/09/2020;Ile-de-France;16.46;27.94;22.2
21/09/2020;Ile-de-France;13.12;26.64;19.88
22/09/2020;Ile-de-France;10.46;26.18;18.32
23/09/2020;Ile-de-France;15.12;23.0;19.06
24/09/2020;Ile-de-France;10.24;17.92;14.08
25/09/2020;Ile-de-France;8.98;14.0;11.49
26/09/2020;Ile-de-France;8.08;15.32;11.7
27/09/2020;Ile-de-France;9.72;14.28;12.0
28/09/2020;Ile-de-France;12.06;15.14;13.6
29/09/2020;Ile-de-France;11.9;17.88;14.89
30/09/2020;Ile-de-France;14.28;19.7;16.99
01/10/2020;Ile-de-France;12.3;17.0;14.65
02/10/2020;Ile-de-France;10.6;14.54;12.57
03/10/2020;Ile-de-France;8.54;14.4;11.47
04/10/2020;Ile-de-France;8.54;15.48;12.01
05/10/2020;Ile-de-France;10.06;13.52;11.79
06/10/2020;Ile-de-France;11.46;16.36;13.91
07/10/2020;Ile-de-France;11.28;17.92;14.6
08/10/2020;Ile-de-France;12.88;18.6;15.74
09/10/2020;Ile-de-France;13.2;17.32;15.26
10/10/2020;Ile-de-France;8.42;15.02;11.72
11/10/2020;Ile-de-France;8.52;14.46;11.49
12/10/2020;Ile-de-France;5.84;13.86;9.85
13/10/2020;Ile-de-France;8.9;13.6;11.25
14/10/2020;Ile-de-France;6.34;14.22;10.28
15/10/2020;Ile-de-France;7.42;12.76;10.09
16/10/2020;Ile-de-France;8.32;13.82;11.07
17/10/2020;Ile-de-France;8.68;12.66;10.67
18/10/2020;Ile-de-France;4.24;15.4;9.82
19/10/2020;Ile-de-France;4.0;14.76;9.38
20/10/2020;Ile-de-France;9.32;14.74;12.03
21/10/2020;Ile-de-France;12.9;21.34;17.12
22/10/2020;Ile-de-France;13.52;20.22;16.87
23/10/2020;Ile-de-France;13.76;19.12;16.44
24/10/2020;Ile-de-France;10.7;15.82;13.26
25/10/2020;Ile-de-France;10.48;12.2;11.34
26/10/2020;Ile-de-France;6.84;14.08;10.46
27/10/2020;Ile-de-France;7.52;13.16;10.34
28/10/2020;Ile-de-France;9.5;14.0;11.75
29/10/2020;Ile-de-France;10.12;14.54;12.33
30/10/2020;Ile-de-France;13.16;15.66;14.41
31/10/2020;Ile-de-France;9.6;17.96;13.78
01/11/2020;Ile-de-France;12.72;18.26;15.49
02/11/2020;Ile-de-France;12.56;19.56;16.06
03/11/2020;Ile-de-France;6.2;12.76;9.48
04/11/2020;Ile-de-France;1.2;11.22;6.21
05/11/2020;Ile-de-France;3.36;11.66;7.51
06/11/2020;Ile-de-France;2.92;13.16;8.04
07/11/2020;Ile-de-France;6.44;16.18;11.31
08/11/2020;Ile-de-France;10.26;17.44;13.85
09/11/2020;Ile-de-France;8.98;18.26;13.62
10/11/2020;Ile-de-France;11.58;14.42;13.0
11/11/2020;Ile-de-France;8.92;12.0;10.46
12/11/2020;Ile-de-France;9.04;14.16;11.6
13/11/2020;Ile-de-France;6.78;15.74;11.26
14/11/2020;Ile-de-France;9.92;17.44;13.68
15/11/2020;Ile-de-France;11.54;15.0;13.27
16/11/2020;Ile-de-France;9.72;12.12;10.92
17/11/2020;Ile-de-France;9.38;13.28;11.33
18/11/2020;Ile-de-France;5.64;16.18;10.91
19/11/2020;Ile-de-France;7.42;11.7;9.56
20/11/2020;Ile-de-France;3.46;10.28;6.87
21/11/2020;Ile-de-France;3.3;10.92;7.11
22/11/2020;Ile-de-France;3.34;10.32;6.83
23/11/2020;Ile-de-France;7.14;12.34;9.74
24/11/2020;Ile-de-France;3.9;9.8;6.85
25/11/2020;Ile-de-France;3.72;12.1;7.91
26/11/2020;Ile-de-France;2.04;11.72;6.88
27/11/2020;Ile-de-France;4.78;11.48;8.13
28/11/2020;Ile-de-France;2.76;11.24;7.0
29/11/2020;Ile-de-France;1.6;4.02;2.81
30/11/2020;Ile-de-France;-0.04;8.2;4.08
01/12/2020;Ile-de-France;3.38;8.8;6.09
02/12/2020;Ile-de-France;5.74;7.98;6.86
03/12/2020;Ile-de-France;5.06;7.8;6.43
04/12/2020;Ile-de-France;4.16;7.7;5.93
05/12/2020;Ile-de-France;2.22;6.12;4.17
06/12/2020;Ile-de-France;2.92;6.58;4.75
07/12/2020;Ile-de-France;0.24;5.18;2.71
08/12/2020;Ile-de-France;1.08;5.28;3.18
09/12/2020;Ile-de-France;-1.16;3.84;1.34
10/12/2020;Ile-de-France;2.44;7.64;5.04
11/12/2020;Ile-de-France;5.18;11.1;8.14
12/12/2020;Ile-de-France;7.82;10.46;9.14
13/12/2020;Ile-de-France;1.9;9.4;5.65
14/12/2020;Ile-de-France;7.42;11.98;9.7
15/12/2020;Ile-de-France;8.24;12.2;10.22
16/12/2020;Ile-de-France;4.7;10.74;7.72
17/12/2020;Ile-de-France;7.76;11.0;9.38
18/12/2020;Ile-de-France;4.9;11.58;8.24
19/12/2020;Ile-de-France;5.9;11.3;8.6
20/12/2020;Ile-de-France;7.76;11.5;9.63
21/12/2020;Ile-de-France;6.78;13.84;10.31
22/12/2020;Ile-de-France;12.82;15.06;13.94
23/12/2020;Ile-de-France;10.46;13.52;11.99
24/12/2020;Ile-de-France;4.48;7.78;6.13
25/12/2020;Ile-de-France;2.5;6.08;4.29
26/12/2020;Ile-de-France;-0.06;5.74;2.84
27/12/2020;Ile-de-France;3.66;7.06;5.36
28/12/2020;Ile-de-France;2.36;5.3;3.83
29/12/2020;Ile-de-France;1.48;4.7;3.09
30/12/2020;Ile-de-France;1.82;6.76;4.29
31/12/2020;Ile-de-France;2.08;5.9;3.99
